User,Location,Tweet,Date/Time,Likes
AlfonsoGzzT,"Monterrey, Nuevo León",Protestan por 'Chapo' ante convoy de Pompeo https://t.co/HXlnJ2k8Yf,2019-07-22 00:27:36,115
123_Jellybean, Arizona,I wonder if I could go visit El Chapo and ask him if he remembers my mom or her aunt in Durango since they were neighbors.,2019-07-22 00:27:17,1720
AguValdes,"Córdoba, Argentina",anoche también se subió una señora al escenario y se chapó a uno de los pibes chorros jajsjs i love la noche cordobesa,2019-07-22 00:26:04,64666
contrapartemx,"Mexico, ME","#Entérate Acciones migratorias, no es necesario considerar a #México como el tercer país seguro, aranceles al tomat… https://t.co/cFmtOMjuqK",2019-07-22 00:26:01,1816
MaTeresaHerrer3,,@carolita_7 @JLozanoA Claro que me parece mal la sentencia del “Chapo “ merece la horca.   Maldito ser que destruyó… https://t.co/ZPiwpTbR3b,2019-07-22 00:25:30,869
Alan_chiva,Ciudad Chilangótica,"Lo que si es la banda derecha es un poco más segura a la defensa, el chapo defiende mejor que Van Rankin",2019-07-22 00:24:30,1820
balanmixhuca,México DF,@OSWALDORIOSM @lopezobrador_ El dice que lo dejen dormir 😴 pues ya tiene mucho con la preocupación del chapo 🤣 https://t.co/Kp5WKiEiYl,2019-07-22 00:24:15,58055
SantiRivarola1,"Villa Dolores, Cba","@Julisanz05 ta, entonces si. decile q mañana me la chapo",2019-07-22 00:22:46,5352
Spify007,United States,@S8737626 @SuzanMitchell10 @billadler @realDonaldTrump That's your opinion. Trump has delivered on many of his prom… https://t.co/UHk8bv9JYm,2019-07-22 00:22:41,2042
Ivy_263,Honduras,"-The Society
-Black Mirror
-Shadow Hunters
-Narcos, México
-El Chapo
-13 Reasons Why

Están como para meterse mes y… https://t.co/jCBlVGeFdO",2019-07-22 00:22:31,2243
AInergia,"León, Guanajuato",@daleleon_mx @leitojramoss @Chapomontes10 ! Que talento del Chapo ! Se le llama ... “ Frialdad “ ...,2019-07-22 00:21:30,1086
Chapo_801,"San Marcos, TX",American me never gets old,2019-07-22 00:21:22,420
