,  NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,COORDENADAS GEOGRÁFICAS NORTE,COORDENADAS GEOGRÁFICAS OESTE,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
9,17,OPD BLP,ZI,EL BAJIO,ZAPOPAN,"""N 20° 41´ 35.2""""""","""W 103° 28´ 49.7""""""",QUEMA DE BASURA,31/01/2018,,,,,,,0,0,8
10,18,OPD BLP,ZI,LAS PIEDROTAS,TALA,"""N 20° 40´ 04.7""""""","""W 103° 40´ 55.6""""""",INTENCIONAL,15/02/2018,,,,,,0.35,,0.35,8
11,19,OPD BLP,ZI,CORRAL FALSO,TALA,"""N 20° 40´ 20.7""""""","""W 103° 40´ 56.8""""""",INTENCIONAL,15/02/2018,,,,,,2.49,,2.49,26
12,20,OPD BLP,ZI,LA MESITA,ZAPOPAN,"""N 20° 43´ 29.6""""""","""W 103° 33´ 22.2""""""",DESCONOCIDA,15/02/2018,,0.9,,,,,,0.9,16
13,21,OPD BLP,ZI,EL 18,ZAPOPAN,"""N 20° 43´ 28.6""""""","""W 103° 30´ 34.0""""""",INTENCIONAL,17/02/2018,0.5,0.5,,,,,,1,50
14,22,OPD BLP,ZI,EL 18,ZAPOPAN,"""N 20° 43´ 36.5""""""","""W 103° 30´ 44.6""""""",DESCONOCIDA,22/02/2018,,,,,,0.5,,0.5,16
15,23,OPD BLP,ZI,EL CALABUS,ZAPOPAN,"""N 20° 43´ 24.9""""""","""W 103° 33´ 38.3""""""",INTENCIONAL,22/02/2018,,,,,,1.32,,1.32,8
16,24,OPD BLP,ZI,CERRO DEL COLLI,ZAPOPAN,"""N 20° 38´ 59.8""""""","""W 103° 27´ 46.6""""""",QUEMA DE BASURA,25/02/2018,,0.5,,,,,,0.5,27
17,25,OPD BLP,ZI,VILLA FELICIDAD,TALA,"""N 20° 39´ 32.8""""""","""W 103° 40´ 04.4""""""",INTENCIONAL,26/02/2018,0.17,,,,,,,0.17,8
18,26,OPD BLP,ZI,CERRO DEL COLLI,ZAPOPAN,"""N 20° 38´ 57.1""""""","""W 103° 27´ 48.6""""""",QUEMA DE BASURA,26/02/2018,,,,,,,,0,12
19,27,OPD BLP,ZI,EL MIRADOR,TALA,"""N 20° 38´ 58.8""""""","""W 103° 41´ 11.0""""""",INTENCIONAL,28/02/2018,,,,,,0.5,,0.5,9
20,28,OPD BLP,ZI,VILLA FELICIDAD,TALA,"""N 20° 39´ 30.1""""""","""W 103° 40´ 35.6""""""",INTENCIONAL,01/03/2018,,0.28,,,,,,0.28,7
21,29,OPD BLP,ZI,BUGAMBILIAS,ZAPOPAN,"""N 20° 35´ 55.0""""""","""W 103° 27´ 10.1""""""",FOGATA,02/03/2018,0.5,,,,,,,0.5,46
22,30,OPD BLP,ZI,VILLA FELICIDAD,TALA,"""N 20° 39´ 25.4""""""","""W 103° 41´ 27.7""""""",INTENCIONAL,05/03/2018,,,,,,0.42,,0.42,8
23,31,OPD BLP,ZI,LOS NOVOA,TALA,"""N 20° 38´ 54.5""""""","""W 103° 40´ 45.2""""""",INTENCIONAL,07/03/2018,,,,,,5.66,,5.66,14
24,32,OPD BLP,ZI,TIRO AL BLANCO,TALA,"""N 20° 40´ 54.1""""""","""W 103° 41´ 31.3""""""",INTENCIONAL,08/03/2018,,,,,,1.55,,1.55,14
25,33,OPD BLP,ZP,LA MISION,EL ARENAL,"""N 20° 42´ 00.8""""""","""W 103° 38´ 55.9""""""",INTENCIONAL,10/03/2018,,0.8,,,,,,0.8,14
26,34,OPD BLP,ZI,BARRANCA DEL MUERTO,ZAPOPAN,"""N 20° 44´ 08.7""""""","""W 103° 35´ 05.7""""""",DESCONOCIDA,10/03/2018,,,,,,1.9,,1.9,20
27,35,OPD BLP,ZI,VILLA FELICIDAD,TALA,"""N 20° 39´ 26.4""""""","""W 103° 41´ 00.3""""""",INTENCIONAL,10/03/2018,,,,,,4.1,,4.1,14
28,36,OPD BLP,ZP,SAN JOSE DE LA MOMTAÑA,ZAPOPAN,"""N 20° 37´ 30.9""""""","""W 103° 29´ 44.1""""""",OTRAS,11/03/2018,2.67,5,,,,,,7.67,63
29,37,OPD BLP,ZP,CERRO DEL COLLI,ZAPOPAN,"""N 20° 39´ 03.7""""""","""W 103° 27´ 39.8""""""",FOGATA,11/03/2018,,1.87,,,,,,1.87,20
30,38,OPD BLP,ZI,PINAR DE LA VENTA,ZAPOPAN,"""N 20° 43´ 25.5""""""","""W 103° 32´ 03.8""""""",OTRAS,12/03/2018,0.2,0.2,,,,,,0.4,42
31,39,OPD BLP,ZI,CORRAL FALSO,TALA,"""N 20° 40´ 16.8""""""","""W 103° 41´ 21.8""""""",INTENCIONAL,12/03/2018,,,,,,1.44,,1.44,7
32,40,OPD BLP,ZP,CERRO DEL COLLI,ZAPOPAN,"""N 20° 39´ 02.2""""""","""W 103° 27´ 48.5""""""",QUEMA DE BASURA,13/03/2018,,1.6,1,,,,,2.6,12
33,41,OPD BLP,ZI,BUGAMBILIAS,ZAPOPAN,"""N 20° 36´ 53.1""""""","""W 103° 28´ 12.4""""""",VANDALISMO,13/03/2018,,,,,,1.16,,1.16,28
34,42,OPD BLP,ZP,SAMUEL CURIEL,EL ARENAL,"""N 20° 42´ 28.2""""""","""W 103° 37´ 22.0""""""",PASEANTES,14/03/2018,,,,,,,,0,11
35,43,OPD BLP,ZI,LOS CONEJOS,TALA,"""N 20° 38´ 13.4""""""","""W 103° 41´ 20.8""""""",INTENCIONAL,14/03/2018,,,,,,11.38,,11.38,10
36,44,OPD BLP,ZI,LAS  TORRES,TALA,"""N 20° 39´ 19.0""""""","""W 103° 40´ 53.2""""""",INTENCIONAL,14/03/2018,,,,,,1.16,,1.16,7
37,45,OPD BLP,ZI,VILLA FELICIDAD,TALA,"""N 20° 39´ 33.7""""""","""W 103° 40´ 10.0""""""",INTENCIONAL,15/03/2018,0.74,,,,,,,0.74,7
38,46,OPD BLP,ZP,CERRO DEL COLLI,ZAPOPAN,"""N 20° 39´ 30.3""""""","""W 103° 27´ 33.5""""""",INTENCIONAL,15/03/2018,,,5.78,,,,,5.78,24
