,Titulo,Precio,Link
13,ESCRAVOS DA PAIXÃO,$114.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336641
14,THE ANSWER,$103.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336643
15,TREPPENSTURZ,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336645
16,START AND RUN A JUMPING...,$114.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336770
17,THE BUDDHA IN THE ATTIC -...,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336771
18,LOVE STORIES,$91.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336772
19,VOM PARTEIENSTAAT ZUM...,$160.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336773
0,AN EXCITING FUTURE,$205.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336922
1,DIE ROLLEN DES SETH,$114.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336923
2,TANTE DORIS,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336924
3,MY ONLY ONE,$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000336952
4,PISSED,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337043
5,DREAM JOB,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337044
6,"RATE, WER ICH BIN!",$34.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337045
7,RECUERDOS DE SAMANA,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337179
8,KATAKOMBEN,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337180
9,HÖLDERLIN,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337184
10,ALLE JAHRE WIEDER,$34.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337281
11,LAKE-CRIME - MORD AM SEE,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337306
12,MALLORCA - DIE INSEL DER...,$160.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337429
13,DIE BIERFLÜSTERIN,$274.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337431
14,EUROPE IN LOVE,$57.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337432
15,PARDAIS NA CHUVA,$114.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337530
16,JACQUELINE AND ANOTHER...,$57.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337531
17,"TOLINO SHINE: 77 TIPPS,...",$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337532
18,SCHWARZE MESSE IM...,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337533
19,DIE LEGENDE VON FIRNATRUHL,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000337708
