,geojson,ent_abr,id_dest,nombre
159,"{""type"":""Point"",""coordinates"":[-88.7573478309999,19.8066673000001]}",Q.Roo.,211166,"Restaurante El Crucero, José María Morelos"
160,"{""type"":""Point"",""coordinates"":[-100.853367992,28.379382418]}",Coah.,36817,"Restaurante Las Jaulas, Morelos"
161,"{""type"":""Point"",""coordinates"":[-100.857814695,28.378827798]}",Coah.,36881,"Restaurante Pescadería 7 Mares, Morelos"
162,"{""type"":""Point"",""coordinates"":[-105.47583334,21.90194445]}",Nay.,172108,"Restaurante Loma China, Santiago Ixcuintla"
163,"{""type"":""Point"",""coordinates"":[-105.267191358,22.2200967970001]}",Nay.,171392,"Restaurante El Camionero, Rosamorada"
164,"{""type"":""Point"",""coordinates"":[-105.271146439,21.773138225]}",Nay.,172115,"Restaurante Cheros, Santiago Ixcuintla"
165,"{""type"":""Point"",""coordinates"":[-105.556116801,22.398625828]}",Nay.,172310,"Restaurante El Dragón, Tecuala"
166,"{""type"":""Point"",""coordinates"":[-105.173484709,20.8436936810001]}",Nay.,173697,"Restaurante El Lindero, Bahía de Banderas"
167,"{""type"":""Point"",""coordinates"":[-105.038627286,20.936079213]}",Nay.,173934,"Restaurante El Molcajete, Bahía de Banderas"
168,"{""type"":""Point"",""coordinates"":[-105.370428991,22.4361412490001]}",Nay.,169280,"Restaurante El Venadito, Acaponeta"
169,"{""type"":""Point"",""coordinates"":[-105.145480681,21.1881975640001]}",Nay.,169666,"Restaurante la Leña, Compostela"
170,"{""type"":""Point"",""coordinates"":[-105.232199443,20.80016677]}",Nay.,173951,"Restaurante Las Higueras, Bahía de Banderas"
171,"{""type"":""Point"",""coordinates"":[-105.398901531,22.012914386]}",Nay.,171426,"Restaurante Venecia, Rosamorada"
172,"{""type"":""Point"",""coordinates"":[-94.209399392,16.3959901960001]}",Oax.,192491,"Restaurante Marios, San Pedro Tapanatepec"
173,"{""type"":""Point"",""coordinates"":[-87.733648499,18.612108586]}",Q.Roo.,210273,"Restaurante Alma Plena, Othón P. Blanco"
174,"{""type"":""Point"",""coordinates"":[-87.382718939,20.293052275]}",Q.Roo.,211935,"Restaurante Bar Grill Oscar y Lalo, Tulum"
175,"{""type"":""Point"",""coordinates"":[-88.7573478309999,19.8066673000001]}",Q.Roo.,211166,"Restaurante El Crucero, José María Morelos"
176,"{""type"":""Point"",""coordinates"":[-87.59491701,20.1070461620001]}",Q.Roo.,209194,"Restaurante Martínez, Felipe Carrillo Puerto"
177,"{""type"":""Point"",""coordinates"":[-87.511808018,20.293823085]}",Q.Roo.,212016,"Restaurante Mi Amigo Faisán, Tulum"
178,"{""type"":""Point"",""coordinates"":[-88.241539355,18.575400105]}",Q.Roo.,209897,"Restaurante Mr. Marlín, Othón P. Blanco"
179,"{""type"":""Point"",""coordinates"":[-88.102260077,19.2018110060001]}",Q.Roo.,209179,"Restaurante Pollos a la Leña, Felipe Carrillo Puerto"
180,"{""type"":""Point"",""coordinates"":[-107.677313327,25.075932988]}",Sin.,227964,"Restaurante Colonia el Rosario, Mocorito"
181,"{""type"":""Point"",""coordinates"":[-108.624214455,26.42712643]}",Sin.,226378,"Restaurante Paseo de las Aves, El Fuerte"
182,"{""type"":""Point"",""coordinates"":[-107.89528257,25.229023494]}",Sin.,228779,"Restaurante Las Mudas, Salvador Alvarado"
183,"{""type"":""Point"",""coordinates"":[-106.763219951,23.696691264]}",Sin.,229109,"Restaurante 59, San Ignacio"
184,"{""type"":""Point"",""coordinates"":[-107.876763402,25.071359946]}",Sin.,228207,"Restaurante El Bacatete, Mocorito"
185,"{""type"":""Point"",""coordinates"":[-106.468336935,23.450223803]}",Sin.,227679,"Restaurante El Crucero, Mazatlán"
186,"{""type"":""Point"",""coordinates"":[-108.245632675,25.486913562]}",Sin.,228791,"Restaurante la Laguna, Salvador Alvarado"
187,"{""type"":""Point"",""coordinates"":[-107.657037895,24.759562268]}",Sin.,229979,"Restaurante Los Mangos, Navolato"
188,"{""type"":""Point"",""coordinates"":[-98.603795748,19.5940173450001]}",Tlax.,263653,"Restaurante Pozo San Vicente, Calpulalpan"
189,"{""type"":""Point"",""coordinates"":[-98.0785368799999,19.5004303310001]}",Tlax.,264562,"Restaurante Rodríguez, Tetla de la Solidaridad"
190,"{""type"":""Point"",""coordinates"":[-98.10823,24.834893611]}",Tamps.,260832,"Restaurante Grill El Burgueño, San Fernando"
191,"{""type"":""Point"",""coordinates"":[-96.396129802,19.5947008580001]}",Ver.,265783,"Restaurante la Mancha, Actopan"
192,"{""type"":""Point"",""coordinates"":[-94.50960825,18.012424547]}",Ver.,276671,"Restaurante Tacoteno, Minatitlán"
193,"{""type"":""Point"",""coordinates"":[-97.737472016,21.3116626460001]}",Ver.,266841,"Restaurante Amatlán, Naranjos Amatlán"
194,"{""type"":""Point"",""coordinates"":[-97.057413469,19.618801521]}",Ver.,281691,"Campirano, Las Vigas de Ramírez"
195,"{""type"":""Point"",""coordinates"":[-96.984778686,19.4204129720001]}",Ver.,275096,"El Palco, Xico"
196,"{""type"":""Point"",""coordinates"":[-94.906591266,17.931920474]}",Ver.,277606,"Restaurante Finca Pineda, Oluta"
197,"{""type"":""Point"",""coordinates"":[-95.108055169,17.907380415]}",Ver.,282513,"Restaurante Palma de Coco, San Juan Evangelista"
198,"{""type"":""Point"",""coordinates"":[-89.749628091,20.8387925750001]}",Yuc.,301640,"Lavadero -Restaurante El Retorno, Umán"
199,"{""type"":""Point"",""coordinates"":[-101.435082771,24.2496175320001]}",Zac.,305436,"Restaurante Brendy, Mazapil"
200,"{""type"":""Point"",""coordinates"":[-101.409998056,24.3038170230001]}",Zac.,302892,"Restaurante la Pardita, Concepción del Oro"
201,"{""type"":""Point"",""coordinates"":[-102.945955781,21.8239206600001]}",Zac.,307513,"Restaurante El Suizo, Tabasco"
202,"{""type"":""Point"",""coordinates"":[-101.400172137,24.3266831670001]}",Zac.,302908,"Restaurante la Palma, Concepción del Oro"
203,"{""type"":""Point"",""coordinates"":[-103.81826571,23.746244717]}",Zac.,307394,"Restaurante El Ranchero Chido, Sombrerete"
204,"{""type"":""Point"",""coordinates"":[-101.951790784,23.649804305]}",Zac.,308500,"Restaurante Paradero los García, Villa de Cos"
205,"{""type"":""Point"",""coordinates"":[-103.787810106,23.742416136]}",Zac.,307395,"Restaurante San Francisco de Órganos, Sombrerete"
206,"{""type"":""Point"",""coordinates"":[-102.917459352,23.238329654]}",Zac.,303793,"Restaurante Bonanza, Fresnillo"
207,"{""type"":""Point"",""coordinates"":[-102.922588081,23.2474284670001]}",Zac.,303792,"Restaurante Campestre, Fresnillo"
208,"{""type"":""Point"",""coordinates"":[-102.340978512,22.734982336]}",Zac.,308978,"Restaurante Las Margaritas, Trancoso"
209,"{""type"":""Point"",""coordinates"":[-102.185991686,21.867665462]}",Ags.,13414,"El Hotelito, Aguascalientes"
210,"{""type"":""Point"",""coordinates"":[-102.294711977,21.8706184490001]}",Ags.,7101,"TP, Aguascalientes"
211,"{""type"":""Point"",""coordinates"":[-102.296227593,22.146483269]}",Ags.,15524,"Hotel y Restaurante-Bar San José, Rincón de Romos"
212,"{""type"":""Point"",""coordinates"":[-116.985952812,32.260852755]}",B.C.,22568,"Hotel Las Rocas, Playas de Rosarito"
213,"{""type"":""Point"",""coordinates"":[-116.58553772,32.5044661540001]}",B.C.,21039,"Hotel Rancho Tecate, Tecate"
214,"{""type"":""Point"",""coordinates"":[-110.018150933,22.9575018360001]}",B.C.S.,27524,"Hotel Rollin Hills, Los Cabos"
215,"{""type"":""Point"",""coordinates"":[-117.021358148,32.2691419230001]}",B.C.,2140,"Hotel Calafia, Playas de Rosarito"
